,Date,Action,Ticker,Price,Shares,Score,Amount,Rank,Reason,PnL_Pct,Days
0,2023-01-04,BUY,GNRC,99.8499984741211,200,0.45,19969.99969482422,1.0,,,
1,2023-01-04,BUY,APP,10.979999542236328,1821,0.40,19994.579166412354,2.0,,,
2,2023-01-04,BUY,CVNA,4.659999847412109,4291,0.35,19996.05934524536,3.0,,,
3,2023-01-04,BUY,COIN,34.59000015258789,578,0.30,19993.0200881958,4.0,,,
4,2023-01-04,BUY,TSLA,109.11000061035156,183,0.30,19967.130111694336,5.0,,,
5,2023-02-03,SELL,GNRC,124.23999786376952,200,,,,Day 21: Score < 0,0.24426639721952292,21.0
6,2023-02-03,SELL,CVNA,12.949999809265137,4291,,,,Day 21: Score < 0,1.7789700071464183,21.0
7,2023-02-03,SELL,COIN,73.72000122070312,578,,,,Day 21: Score < 0,1.1312518327695837,21.0
8,2023-02-03,BUY,CRWD,112.46199798583984,322,0.33,36212.76335144043,1.0,,,
9,2023-02-09,BUY,EQT,28.667903635116986,1353,0.20,38787.67361831328,1.0,,,
10,2023-02-14,SELL,APP,15.59000015258789,1821,,,,Day 28: Score < 0,0.41985435360160595,28.0
11,2023-02-14,SELL,TSLA,191.94000244140625,183,,,,Day 28: Score < 0,0.7591421626588863,28.0
12,2023-02-14,BUY,FCX,40.259269854065366,931,0.21,37481.38023413486,1.0,,,
13,2023-02-28,BUY,ALGN,303.54998779296875,127,0.22,38550.84844970703,1.0,,,
14,2023-03-01,BUY,LVS,55.77139178960388,638,0.20,35582.147961767274,1.0,,,
15,2023-03-07,SELL,CRWD,127.0,322,,,,Day 21: Score < 0,0.12927035153679767,21.0
16,2023-03-24,BUY,TPL,173.17300927195237,213,0.20,36885.85097492585,1.0,,,
17,2023-03-27,SELL,FCX,36.75803761097181,931,,,,Day 28: Score < 0,-0.08696710734658297,28.0
18,2023-03-27,BUY,EXE,68.11467110273435,554,0.20,37735.52779091483,1.0,,,
19,2023-04-12,SELL,EQT,32.131932963679645,1353,,,,Day 42: Score < 0,0.12083301843945682,42.0
20,2023-04-12,BUY,NVDA,27.347274949110663,1486,0.22,40638.050574378445,1.0,,,
21,2023-04-20,SELL,LVS,59.33288694657621,638,,,,Day 35: Score < 0,0.06385881798338433,35.0
22,2023-04-20,BUY,SCHW,52.3919624348052,776,0.25,40656.162849408836,1.0,,,
23,2023-04-26,SELL,EXE,72.29636368475303,554,,,,Day 21: Score < 0,0.06139195145949716,21.0
24,2023-04-26,BUY,META,211.0259045642144,186,0.21,39250.81824894388,1.0,,,
25,2023-06-21,SELL,SCHW,51.93522140794584,776,,,,Day 42: Score < 0,-0.008717769017102861,42.0
26,2023-06-21,BUY,KEY,8.580275161079834,4852,0.33,41631.495081559355,1.0,,,
27,2023-06-29,SELL,ALGN,345.0,127,,,,Day 84: Score < 0,0.13655086105719616,84.0
